                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                 1.6049,                 1.5727,                 1.5754,                 0.6397,                0.56823,                0.53407,                0.28421,                  0.759,                 8.5559,                0.91109,             0.00090892,             0.00090892,             0.00090892
                     95,                 1.5351,                 1.5439,                 1.5473,                0.78072,                0.55532,                 0.5324,                0.30748,                0.73705,                 8.5899,                0.88862,             0.00090793,             0.00090793,             0.00090793
                     96,                  1.646,                 1.6631,                 1.6432,                0.61792,                0.62761,                0.49792,                0.30358,                0.72434,                 5.2073,                0.87214,             0.00090694,             0.00090694,             0.00090694
                     97,                  1.567,                 1.5438,                 1.6358,                0.66212,                0.56832,                0.49985,                0.29153,                0.72563,                 5.9677,                0.86692,             0.00090595,             0.00090595,             0.00090595
                     98,                 1.6038,                 1.5844,                 1.5952,                0.69679,                 0.5505,                0.49089,                0.26799,                 0.7829,                 13.371,                0.91147,             0.00090496,             0.00090496,             0.00090496
                     99,                 1.6324,                 1.7618,                 1.6143,                0.55734,                0.60489,                0.49328,                0.25993,                0.76749,                 10.084,                0.91608,             0.00090397,             0.00090397,             0.00090397
                    100,                 1.5266,                 1.5511,                 1.5177,                0.84171,                0.43899,                0.48115,                0.27266,                0.76774,                 12.698,                0.93471,             0.00090298,             0.00090298,             0.00090298
                    101,                 1.5697,                 1.6688,                 1.6405,                0.80148,                0.58803,                0.46886,                0.26253,                0.77576,                 16.111,                0.92288,             0.00090199,             0.00090199,             0.00090199
                    102,                  1.574,                 1.5034,                 1.5369,                0.79275,                0.53835,                  0.529,                0.28717,                0.78694,                 7.6917,                0.95756,               0.000901,               0.000901,               0.000901
                    103,                  1.517,                 2.4935,                 1.5113,                0.56843,                 0.5561,                0.49798,                0.28498,                0.75745,                 5.3891,                0.89131,             0.00090001,             0.00090001,             0.00090001
                    104,                 1.5763,                 1.5894,                 1.5633,                0.73009,                0.41509,                0.44647,                0.22283,                  0.822,                 13.276,                 0.9122,             0.00089902,             0.00089902,             0.00089902
                    105,                 1.5784,                  1.558,                 1.6222,                0.63823,                0.50411,                0.44201,                 0.2508,                 1.5434,                 22.443,                  1.147,             0.00089803,             0.00089803,             0.00089803
                    106,                  1.582,                 1.5427,                 1.5278,                0.56535,                0.64053,                0.51436,                0.28914,                0.86206,                 16.156,                0.94955,             0.00089704,             0.00089704,             0.00089704
                    107,                 1.5475,                 1.5134,                 1.5903,                0.61948,                 0.6565,                0.52302,                0.29569,                0.80898,                 6.2937,                0.91561,             0.00089605,             0.00089605,             0.00089605
                    108,                 1.5883,                 1.5489,                 1.5688,                 0.6692,                0.57127,                0.55556,                0.32322,                0.77824,                 8.0207,                0.89708,             0.00089506,             0.00089506,             0.00089506
                    109,                 1.5897,                 1.4494,                 1.5858,                0.62254,                0.58575,                0.53714,                0.31805,                0.76668,                 9.8562,                0.89916,             0.00089407,             0.00089407,             0.00089407
                    110,                  1.594,                 1.7375,                 1.5672,                0.68664,                0.66861,                0.58815,                0.31741,                0.78051,                 5.5994,                0.91074,             0.00089308,             0.00089308,             0.00089308
                    111,                 1.5024,                 1.4494,                 1.5375,                 0.6013,                0.57577,                0.53048,                0.28179,                0.78109,                 4.6917,                0.89758,             0.00089209,             0.00089209,             0.00089209
                    112,                 1.5183,                 1.4716,                 1.5254,                0.64876,                0.62828,                 0.5361,                0.32191,                0.73819,                 3.3585,                0.86975,              0.0008911,              0.0008911,              0.0008911
                    113,                 1.4746,                 1.4079,                  1.532,                0.64348,                0.65044,                0.54785,                0.31813,                 0.7283,                 9.5162,                0.86465,             0.00089011,             0.00089011,             0.00089011
                    114,                  1.506,                 1.5066,                 1.5219,                0.62391,                0.65678,                0.52525,                0.29703,                 1.5195,                 16.327,                 1.1512,             0.00088912,             0.00088912,             0.00088912
                    115,                 1.5817,                 1.4973,                 1.6168,                  0.651,                0.64809,                0.54999,                0.31362,                 1.0396,                 9.8417,                0.97356,             0.00088813,             0.00088813,             0.00088813
                    116,                 1.5179,                 1.4677,                 1.6128,                0.63418,                0.64317,                0.53706,                0.30499,                0.78917,                 14.402,                0.89018,             0.00088714,             0.00088714,             0.00088714
                    117,                 1.6067,                 1.5702,                 1.5672,                0.74356,                0.61158,                0.57023,                0.28473,                 1.1245,                 12.709,                 1.0277,             0.00088615,             0.00088615,             0.00088615
                    118,                 1.5621,                 1.5022,                 1.5154,                 0.6262,                0.54481,                0.54682,                0.29795,                 1.4492,                 9.2443,                 1.1057,             0.00088516,             0.00088516,             0.00088516
                    119,                 1.4848,                 1.3821,                 1.5136,                0.74765,                 0.5493,                0.59402,                0.34175,                 2.6446,                  11.44,                 1.4975,             0.00088417,             0.00088417,             0.00088417
                    120,                 1.5151,                 1.3695,                   1.51,                0.70657,                0.58851,                 0.5585,                0.31582,                 3.4421,                 13.818,                 1.7692,             0.00088318,             0.00088318,             0.00088318
                    121,                 1.4682,                 1.4192,                 1.5323,                0.65495,                0.64174,                0.54222,                0.29951,                 3.8092,                 11.848,                 1.9023,             0.00088219,             0.00088219,             0.00088219
                    122,                 1.6018,                 1.5876,                 1.5934,                0.70797,                0.68308,                 0.5782,                0.31495,                 3.6634,                 9.2475,                 1.8787,              0.0008812,              0.0008812,              0.0008812
                    123,                 1.4828,                 1.4142,                 1.5268,                0.71232,                0.60107,                 0.5762,                0.32548,                  3.648,                 10.656,                 1.8657,             0.00088021,             0.00088021,             0.00088021
                    124,                 1.5486,                 1.5305,                 1.5171,                 0.6915,                0.61283,                0.56748,                0.30536,                  3.263,                 23.261,                 1.7469,             0.00087922,             0.00087922,             0.00087922
                    125,                  1.496,                 1.3974,                 1.5349,                 0.6529,                0.70229,                0.57194,                0.33745,                 1.7469,                  12.41,                 1.1934,             0.00087823,             0.00087823,             0.00087823
                    126,                  1.558,                 1.4923,                 1.6154,                0.70542,                0.69459,                0.59889,                0.33876,                 1.6504,                 9.0434,                 1.1583,             0.00087724,             0.00087724,             0.00087724
                    127,                 1.4534,                 1.3013,                 1.4581,                0.64951,                0.65588,                0.59892,                0.31925,                 2.4978,                 8.7149,                  1.406,             0.00087625,             0.00087625,             0.00087625
                    128,                 1.4387,                 1.2638,                 1.4642,                0.70936,                0.62059,                 0.6133,                0.31437,                 3.6741,                 19.512,                 1.7828,             0.00087526,             0.00087526,             0.00087526
                    129,                 1.5163,                 1.4379,                 1.5656,                0.62359,                0.66785,                0.56492,                0.29059,                 3.7546,                 23.249,                 1.8345,             0.00087427,             0.00087427,             0.00087427
                    130,                 1.4192,                 1.2163,                 1.4383,                0.66678,                0.64369,                0.58623,                0.32954,                 2.1459,                 13.819,                 1.2999,             0.00087328,             0.00087328,             0.00087328
                    131,                 1.5454,                 1.3814,                 1.5393,                0.66254,                0.62926,                0.60581,                0.36878,                 3.1306,                 6.0868,                 1.6008,             0.00087229,             0.00087229,             0.00087229
                    132,                 1.4778,                 1.4283,                 1.5498,                 0.7316,                0.69002,                0.61754,                0.32825,                 3.5097,                  5.988,                 1.7748,              0.0008713,              0.0008713,              0.0008713
                    133,                 1.5857,                 1.4742,                 1.5527,                0.61111,                0.69136,                0.57946,                0.31046,                 3.2167,                 6.2997,                 1.6908,             0.00087031,             0.00087031,             0.00087031
                    134,                 1.5333,                  1.457,                 1.5191,                0.65629,                0.73764,                0.60072,                0.32111,                 3.0978,                 4.5657,                 1.6994,             0.00086932,             0.00086932,             0.00086932
                    135,                 1.4715,                  1.362,                 1.4748,                 0.6758,                0.66208,                0.55104,                0.29888,                 3.0065,                 4.8414,                 1.6374,             0.00086833,             0.00086833,             0.00086833
                    136,                  1.405,                 1.2233,                 1.4109,                0.78751,                0.58712,                0.52708,                0.29751,                  2.779,                 4.1754,                 1.5688,             0.00086734,             0.00086734,             0.00086734
                    137,                 1.4766,                 1.2736,                 1.4388,                0.81071,                0.58464,                0.58682,                0.30432,                 2.8711,                 2.6243,                 1.6217,             0.00086635,             0.00086635,             0.00086635
                    138,                 1.5196,                 1.3998,                 1.4993,                0.71755,                0.64082,                0.61164,                0.32847,                 2.5754,                 3.1078,                  1.527,             0.00086536,             0.00086536,             0.00086536
                    139,                  1.452,                 1.2813,                 1.4728,                0.64302,                0.67193,                0.58279,                0.30297,                  2.603,                 3.7598,                 1.5595,             0.00086437,             0.00086437,             0.00086437
                    140,                 1.4791,                 1.3582,                 1.4005,                0.71544,                0.59398,                0.61452,                0.33511,                 2.6414,                 3.0218,                 1.5561,             0.00086338,             0.00086338,             0.00086338
                    141,                 1.6759,                 1.5464,                 1.5426,                0.72003,                0.62552,                0.58124,                0.29461,                  2.734,                 2.5942,                 1.5962,             0.00086239,             0.00086239,             0.00086239
                    142,                 1.5003,                 1.3078,                 1.4541,                 0.3935,                0.64423,                0.49844,                0.25881,                 2.6755,                 2.5207,                 1.5804,              0.0008614,              0.0008614,              0.0008614
                    143,                 1.5744,                 1.3451,                  1.468,                0.46338,                 0.6096,                0.52174,                0.30842,                 2.4577,                 2.3674,                 1.4649,             0.00086041,             0.00086041,             0.00086041
                    144,                 1.4874,                 1.2648,                 1.4535,                0.56284,                0.65157,                0.57793,                0.31541,                 2.3895,                 3.0435,                  1.449,             0.00085942,             0.00085942,             0.00085942
                    145,                 1.5281,                 1.5279,                 1.4821,                0.53938,                0.69636,                0.60283,                0.32316,                 2.3316,                 2.3831,                 1.4301,             0.00085843,             0.00085843,             0.00085843
                    146,                 1.5017,                 1.3447,                 1.5169,                0.56761,                0.65055,                0.58711,                0.33887,                 2.2853,                 2.3191,                 1.4339,             0.00085744,             0.00085744,             0.00085744
                    147,                 1.4119,                 1.1872,                 1.3993,                0.69232,                0.66888,                0.61299,                0.34356,                 2.2302,                 2.3372,                 1.4233,             0.00085645,             0.00085645,             0.00085645
